supplier_id,supplier_name,country,category,annual_spend_usd,on_time_delivery_rate,quality_defect_ppm,financial_health_score,days_payable_outstanding,single_source_flag,geopolitical_risk_index,past_disruptions_count,avg_lead_time_days,price_volatility_pct,esg_score,years_relationship,risk_score,risk_category
SUP-0182,Prime Materials,Philippines,Plastics,56373,90.6,123.4,73.7,28.9,0,39.9,0,26.5,5.7,54.6,9.4,26.4,Medium
SUP-0183,Pioneer Manufacturing,Turkey,Plastics,22924,92.8,542.6,100.0,52.2,0,44.7,1,10.2,15.4,56.3,12.9,36.8,Medium
SUP-0184,Fortress Group,Germany,Plastics,125951,89.4,20.8,59.5,63.8,0,7.1,2,33.2,47.0,26.2,1.5,52.7,High
SUP-0185,Summit Group,Brazil,Electronics,82639,84.0,384.8,20.9,70.8,0,42.7,0,26.9,0.0,98.0,9.8,46.3,High
SUP-0186,Prime Materials,Turkey,Logistics Services,39254,100.0,238.2,21.7,51.1,0,47.3,1,16.2,3.4,40.2,1.8,47.4,High
SUP-0187,Stellar Industries,Turkey,Raw Metals,166171,91.9,300.2,83.8,43.2,1,32.3,0,20.5,2.2,41.9,1.5,39.2,Medium
SUP-0188,Fortress Supply Co.,Germany,Chemicals,68680,88.4,43.0,28.6,10.0,1,24.4,2,3.0,2.0,83.4,3.7,44.1,High
SUP-0189,Zenith Technologies,Mexico,Electronics,194096,88.4,1227.8,91.2,58.3,1,33.6,0,27.2,2.5,33.2,3.2,63.1,Critical
SUP-0190,Union Industries,Taiwan,Plastics,14595,93.6,67.3,99.5,47.1,0,34.6,6,34.1,12.9,100.0,2.2,37.5,Medium
SUP-0191,Ironclad Manufacturing,China,Raw Metals,75529,88.1,25.1,64.3,24.4,0,53.9,1,28.1,4.1,71.9,3.0,34.2,Medium
SUP-0192,Ironclad Manufacturing,Philippines,Plastics,173213,84.0,147.9,75.0,17.0,1,31.3,1,38.4,43.5,71.3,5.4,56.9,High
SUP-0193,Pioneer Technologies,Brazil,Semiconductors,48291,92.0,16.8,78.0,48.6,0,35.4,3,10.2,23.8,100.0,0.4,37.1,Medium
SUP-0194,Zenith Logistics,Mexico,Logistics Services,34822,77.3,230.3,14.4,39.1,0,14.8,3,38.1,0.4,58.7,0.5,62.4,Critical
SUP-0195,Fortress Manufacturing,Philippines,Raw Metals,143759,100.0,647.8,54.9,39.9,0,30.5,2,24.7,4.6,44.5,3.0,53.3,High
SUP-0196,Continental Supply Co.,Brazil,Packaging,39249,93.2,71.0,61.5,14.0,0,21.4,1,23.1,2.8,51.2,1.8,29.6,Medium
SUP-0197,Continental Industries,Philippines,Chemicals,53393,86.2,125.9,71.6,44.4,0,26.2,2,32.8,1.2,100.0,5.9,30.8,Medium
SUP-0198,Precision Traders,Turkey,Chemicals,165080,72.2,518.4,62.7,32.3,0,46.3,3,54.6,6.2,55.0,1.3,63.7,Critical
SUP-0199,Atlas Group,Bangladesh,Electronics,13630,100.0,134.5,63.8,39.5,0,56.4,2,33.9,6.9,37.4,4.0,40.9,Medium
SUP-0200,Pioneer Traders,Philippines,Textiles,47619,96.6,325.1,69.3,23.1,0,25.7,0,19.3,14.0,66.8,21.0,19.8,Low
SUP-0201,Pioneer Manufacturing,India,Plastics,11402,100.0,255.4,47.5,94.6,0,48.1,2,27.8,2.1,50.4,1.9,43.6,High
SUP-0202,Precision Materials,Philippines,Textiles,124090,92.5,868.3,79.0,48.6,1,38.9,2,45.0,9.7,56.9,7.4,56.3,High
SUP-0203,Horizon Industries,Vietnam,Packaging,23555,91.3,77.1,56.9,37.5,1,54.2,0,8.6,15.3,74.6,15.8,37.6,Medium
SUP-0204,Vertex Technologies,Poland,Raw Metals,15647,96.9,281.2,48.7,34.1,0,16.4,1,48.9,11.9,73.6,5.0,28.7,Medium
SUP-0205,Ironclad Supply Co.,Mexico,Raw Metals,20597,100.0,80.1,67.8,41.1,1,27.5,2,53.7,3.1,77.7,11.3,34.0,Medium
SUP-0206,Stellar Traders,Philippines,Chemicals,14978,99.6,3.1,84.8,65.8,0,28.2,1,26.6,3.4,51.6,15.8,19.7,Low
SUP-0207,Apex Logistics,Taiwan,Chemicals,19173,79.0,1033.3,71.0,46.7,0,16.1,2,37.0,18.8,87.4,10.2,57.4,High
SUP-0208,Global Supply Co.,Germany,Textiles,43887,100.0,677.8,59.6,56.9,0,5.4,0,20.9,3.3,82.0,0.8,35.9,Medium
SUP-0209,Prime Group,Philippines,Raw Metals,592023,70.9,272.0,63.6,20.8,0,31.1,2,42.8,21.5,82.5,10.3,54.4,High
SUP-0210,Ironclad Logistics,Turkey,Raw Metals,123320,98.1,118.7,62.5,46.9,0,33.8,1,28.5,0.6,87.3,0.2,23.5,Low
SUP-0211,Meridian Materials,Philippines,Chemicals,107284,72.6,835.7,76.6,10.0,0,26.1,0,23.8,2.1,94.0,5.7,41.5,Medium
SUP-0212,Fortress Group,USA,Packaging,44936,74.5,23.9,67.8,48.8,0,15.6,0,20.5,14.4,72.5,5.0,33.9,Medium
SUP-0213,Horizon Components,Mexico,Chemicals,25222,97.5,96.8,79.0,34.3,0,29.8,2,41.5,7.7,37.7,2.4,30.8,Medium
SUP-0214,Prime Supply Co.,South Africa,Packaging,50536,82.4,13.5,85.6,71.9,0,47.3,0,32.5,3.1,76.4,19.7,13.6,Low
SUP-0215,Ironclad Traders,Mexico,Chemicals,60906,100.0,21.8,90.7,21.0,0,24.8,1,12.0,16.9,54.7,4.9,18.1,Low
SUP-0216,Nova Technologies,Philippines,Logistics Services,5000,74.2,543.3,64.0,32.2,0,23.8,0,15.2,3.0,39.0,13.4,43.3,High
SUP-0217,Summit Supply Co.,Turkey,Electronics,114206,86.0,438.5,59.7,10.0,0,42.2,1,27.8,17.3,63.7,4.9,46.9,High
SUP-0218,Orion Logistics,Poland,Raw Metals,11613,98.3,71.1,70.4,51.0,0,17.5,1,15.5,12.1,17.9,2.2,19.5,Low
SUP-0219,Apex Traders,India,Raw Metals,16411,88.0,206.1,84.0,48.7,0,21.6,3,23.1,0.6,42.9,1.6,35.1,Medium
SUP-0220,Union Supply Co.,Germany,Chemicals,57234,81.1,15.6,66.7,34.6,0,12.6,0,23.8,12.4,58.4,5.3,26.4,Medium
SUP-0221,Nova Supply Co.,Mexico,Semiconductors,128385,72.7,370.8,71.8,54.5,0,25.9,1,48.2,13.1,55.2,1.5,47.3,High
SUP-0222,Vertex Supply Co.,Mexico,Raw Metals,14424,84.5,123.5,78.5,29.5,0,4.7,1,24.4,6.0,64.5,9.8,27.0,Medium
SUP-0223,Horizon Traders,Mexico,Semiconductors,168538,89.2,527.0,63.2,10.0,1,35.4,0,11.0,1.0,40.3,0.7,50.9,High
SUP-0224,Apex Supply Co.,Poland,Raw Metals,25763,93.4,236.6,74.4,86.6,0,19.6,1,23.0,1.5,82.3,4.2,26.0,Medium
SUP-0225,Horizon Materials,Germany,Raw Metals,11088,100.0,208.4,87.1,42.6,0,12.3,0,38.3,2.3,100.0,3.8,14.8,Low
SUP-0226,Meridian Group,Brazil,Electronics,23884,89.6,87.5,83.0,54.0,0,42.2,2,55.3,4.5,76.5,1.5,32.1,Medium
SUP-0227,Zenith Supply Co.,Philippines,Chemicals,251265,100.0,86.7,91.2,21.7,0,37.9,1,6.1,1.1,90.5,0.2,25.7,Medium
SUP-0228,Nova Manufacturing,Bangladesh,Logistics Services,47227,94.8,450.8,88.9,63.4,0,57.3,2,37.6,1.5,59.0,4.7,35.0,Medium
SUP-0229,Pioneer Components,Germany,Textiles,131029,88.3,46.4,80.4,25.0,0,20.3,4,28.3,0.0,64.5,1.9,31.6,Medium
SUP-0230,Pioneer Industries,Brazil,Packaging,84504,78.6,4.9,46.9,68.5,0,19.2,0,40.6,0.8,46.3,3.1,35.4,Medium
SUP-0231,Global Supply Co.,India,Semiconductors,11308,77.0,3.9,49.8,68.4,1,31.1,1,31.5,3.8,44.8,5.6,53.2,High
SUP-0232,Zenith Components,Brazil,Electronics,57412,84.0,25.4,49.1,41.3,0,34.3,1,44.7,3.1,80.6,5.4,34.4,Medium
SUP-0233,Ironclad Components,India,Logistics Services,338965,98.4,38.2,89.1,13.4,1,33.8,2,40.2,11.7,79.7,2.2,30.7,Medium
SUP-0234,Apex Components,China,Logistics Services,49165,89.6,240.3,28.9,48.9,0,52.4,3,18.7,0.6,58.7,16.2,58.7,High
SUP-0235,Summit Industries,Mexico,Chemicals,38215,81.6,285.3,43.4,76.8,0,32.6,1,39.0,6.5,43.4,2.7,46.5,High
SUP-0236,Horizon Group,Turkey,Electronics,26286,88.4,159.5,69.4,25.4,1,37.2,1,27.5,1.4,22.8,3.1,46.2,High
SUP-0237,Apex Supply Co.,India,Electronics,21887,81.9,151.7,100.0,10.0,1,20.5,0,22.2,2.4,51.1,4.5,33.0,Medium
SUP-0238,Precision Components,China,Chemicals,23154,85.0,70.3,66.6,31.4,0,46.7,1,45.4,6.2,62.2,14.3,30.7,Medium
SUP-0239,Nova Traders,South Africa,Raw Metals,101029,100.0,25.2,37.3,69.0,0,46.5,1,37.4,2.6,70.3,17.0,28.0,Medium
SUP-0240,Global Supply Co.,USA,Plastics,11770,64.7,48.5,75.6,70.6,0,17.9,1,7.9,0.2,56.8,8.4,30.6,Medium
SUP-0241,Nova Logistics,Germany,Packaging,36646,90.3,21.2,30.3,10.0,0,0.0,0,28.3,4.3,62.2,0.2,33.4,Medium
SUP-0242,Prime Group,Turkey,Logistics Services,40120,89.8,100.0,68.1,69.6,0,45.4,0,20.5,7.3,78.5,18.3,27.3,Medium
SUP-0243,Meridian Group,Brazil,Logistics Services,5000,88.8,2.2,37.2,46.0,0,31.6,1,22.3,20.0,54.2,9.0,42.1,High
SUP-0244,Precision Traders,USA,Semiconductors,17770,100.0,24.1,63.2,43.4,0,1.9,2,31.8,23.8,54.0,4.9,36.7,Medium
SUP-0245,Precision Manufacturing,India,Raw Metals,12799,100.0,160.2,50.4,64.1,0,44.6,1,30.8,26.4,68.8,0.7,44.3,High
SUP-0246,Ironclad Logistics,Turkey,Textiles,122366,89.6,237.5,81.3,44.0,0,34.8,2,10.3,16.6,51.1,3.1,44.9,High
SUP-0247,Zenith Components,Brazil,Semiconductors,26882,84.0,394.5,81.5,52.8,0,16.7,0,21.7,9.0,97.4,5.8,25.8,Medium
SUP-0248,Horizon Group,Philippines,Plastics,405684,91.0,42.8,92.4,21.6,0,18.3,2,14.2,5.1,97.7,1.4,29.0,Medium
SUP-0249,Precision Traders,Turkey,Textiles,19652,84.0,360.5,64.3,68.7,0,35.4,0,13.5,4.6,60.7,2.3,44.0,High
SUP-0250,Ironclad Manufacturing,South Africa,Electronics,63561,95.7,100.9,77.8,47.5,0,36.9,2,29.1,5.9,59.3,0.2,32.0,Medium
